,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow,LassoForDAIS
0,v0.84 - 84,0,CrossEntropy,Adam,9.04e-05,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",ModelStateDict1726284264.048098.pt,,20,1516,1231491,12:17.6,x86_64,0.000216961,0.0,0.0,18113.0,4528.0,3.622490823,0.751821576,0.348533985,0.000199994,1.172430098,0.762838359,0.355563252,0.000258929,149.0,0.000655134,ModelStateDict-Waypoint_0-1726283680.5115151.pt,0.000460631,ModelStateDict-Waypoint_1-1726283824.5081089.pt,0.000146205,ModelStateDict-Waypoint_2-1726283965.9758353.pt,0.00026207,ModelStateDict-Waypoint_3-1726284109.0831838.pt,0.000209304,ModelStateDict-Waypoint_4-1726284258.1241958.pt,723.3742356,13338675.0,13357595.0,0.0,"1516/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/20","1516/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/20",174880.0,,
1,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,1364735,2024-09-17 03:12:54.926775,x86_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,252548,2024-09-17 03:12:56.797790,x86_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,3698289,2024-09-17 03:13:17.950345,x86_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
4,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,252683,2024-09-17 03:13:31.097924,x86_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,1364735,2024-09-17 03:23:56.387691,x86_64,659.9188458919525,2392.326144000001,227102720.0,18113.0,4528.0,17.084391117095947,0.0302069009913459,0.0231152343749999,0.0009432115672222,4.888131856918335,0.0316927928268895,0.0236416747809152,0.0010795344206975,149.0,0.0009432115672222,,0.0009432115672222,,0.0009432115672222,,0.0009432115672222,,0.0009432115672222,,629.6360104084015,13338675.0,13357595.0,12743293.0,"1516/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/20","1516/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/20",189636.0,0.0,False
6,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,1364735,2024-09-17 03:34:28.404449,x86_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,1364735,2024-09-17 03:46:47.545117,x86_64,737.6849219799042,-439.1362559999998,209816064.0,18113.0,4528.0,17.146119832992554,0.0302069009913459,0.0231152343749999,0.0009466195457954,4.905388593673706,0.0316927928268895,0.0236416747809152,0.0010833455374721,149.0,0.0009466195457954,,0.0009466195457954,,0.0009466195457954,,0.0009466195457954,,0.0009466195457954,,629.4626522064209,13338675.0,13357595.0,12965370.0,"1516/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/20","1516/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 673/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/20",379160.0,0.0,False
8,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,1364735,2024-09-17 03:57:19.794289,x86_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
9,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,675,ACI,3000,0.2,0,-2,4,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726284264.048098.pt,20,1516,1364735,2024-09-17 04:09:59.555759,x86_64,758.5624108314514,1531.4001919999992,212931584.0,18113.0,4528.0,17.18203067779541,0.0302069009913459,0.0231152343749999,0.0009486021464028,4.915443420410156,0.0316927928268895,0.0236416747809152,0.0010855661264156,149.0,0.0009486021464028,,0.0009486021464028,,0.0009486021464028,,0.0009486021464028,,0.0009486021464028,,681.8711557388306,13338675.0,13357595.0,13036509.0,"1516/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/675, 675/20","1516/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 675/30, 674/30, 675/30, 669/30, 673/30, 675/30, 674/30, 661/30, 673/30, 675/30, 675/30, 675/30, 675/30, 675/30, 674/30, 675/30, 675/30, 675/30, 675/30, 675/20",379160.0,0.0,False
