,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
0,v0.92 - 92,0,CrossEntropy,Adam,0.0009,150,MainLinear,0.000224328,27,875,ACI,3000,0.2,0,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726689934.8762655.pt,,20,1516,2987565,2024-09-18 19:46:26.576141,x86_64,0.039914846420288,-0.7413759999999456,0.0,18113.0,4528.0,2.554810792207718,0.8652874764334546,0.4547810491266881,0.000141048462,0.9935958385467528,0.8476074710536102,0.4427931736922306,0.0002194337099264,149.0,0.0006741351269941,ModelStateDict-Waypoint_0-1726689009.6941183.pt,0.0005232790189991,ModelStateDict-Waypoint_1-1726689237.7338672.pt,0.0005377452469461,ModelStateDict-Waypoint_2-1726689466.6375725.pt,0.0004667726080612,ModelStateDict-Waypoint_3-1726689696.794863.pt,0.0001490074672882,ModelStateDict-Waypoint_4-1726689926.2841961.pt,1147.401573896408,22015875.0,22040395.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,
1,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726690086.4886305.pt,,20,1516,1862296,2024-09-18 20:07:27.998988,x86_64,0.0409588813781738,34.43507200000022,0.0,80.0,20.0,12.22166633605957,0.1384615384615384,0.0659340659340659,0.1527708292007446,2.270721912384033,0.0391304347826086,0.0434782608695652,0.1135360956192016,99.0,0.020970407128334,ModelStateDict-Waypoint_0-1726690055.029939.pt,0.0203939467668533,ModelStateDict-Waypoint_1-1726690062.9664404.pt,0.0202671736478805,ModelStateDict-Waypoint_2-1726690070.4236507.pt,0.0243387147784233,ModelStateDict-Waypoint_3-1726690077.3046176.pt,0.0177166476845741,ModelStateDict-Waypoint_4-1726690084.8262737.pt,37.88493061065674,22015875.0,22040395.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,
2,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,2988399,2024-09-18 20:08:21.942812,x86_64,63.89127492904663,1095.651328,359326720.0,80.0,20.0,1.2346616983413696,0.4422785547785547,0.2141192141192141,0.0154332712292671,1.5672504901885986,0.3427272727272727,0.2393939393939394,0.0783625245094299,0.0,,,,,,,,,,,1.5222349166870115,22015875.0,22040395.0,444479.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/20",244836.0,0.0
3,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 20]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,2988399,2024-09-18 20:09:40.598003,x86_64,70.67106652259827,605.7123840000004,342437888.0,80.0,20.0,1.6610008478164673,0.2745336442371752,0.152279432759113,0.0207625105977058,2.145425796508789,0.094047619047619,0.115079365079365,0.1072712898254394,0.0,,,,,,,,,,,1.5634379386901855,22015875.0,22040395.0,11103167.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/612, 875/20",489560.0,0.0
4,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,3825485,2024-09-18 20:10:37.275523,x86_64,42.79164385795593,263.79468799999995,459131904.0,80.0,20.0,1.700955152511597,0.1384615384615384,0.0659340659340659,0.0212619394063949,1.8668327331542969,0.0391304347826086,0.0434782608695652,0.0933416366577148,99.0,0.0235336750745773,,0.0224904611706733,,0.0218853428959846,,0.0215148851275444,,0.0212718576192855,,33.60423922538757,22015875.0,22040395.0,2.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",374643.0,0.0
5,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 20]","[0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,2988399,2024-09-18 20:11:01.439324,x86_64,72.65533900260925,721.3998080000001,342956032.0,80.0,20.0,1.8878902196884155,0.0454301075268817,0.0399385560675883,0.0235986277461051,2.217336177825928,0.0181818181818181,0.0303030303030303,0.1108668088912963,0.0,,,,,,,,,,,1.519012451171875,22015875.0,22040395.0,14714390.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/498, 875/20",659228.0,0.0
6,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 866, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,1862729,2024-09-18 20:11:44.409659,x86_64,180.866681098938,516.775936,364644352.0,80.0,20.0,2.395930528640747,0.1384615384615384,0.0659340659340659,0.0299491316080093,2.4579732418060303,0.0391304347826086,0.0434782608695652,0.1228986620903015,99.0,0.0299491316080093,,0.0299491316080093,,0.0299491316080093,,0.0299491316080093,,0.0299491316080093,,41.552878856658936,21627315.0,21651611.0,2.0,"1516/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/20","1516/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/867, 867/20",371510.0,0.0
7,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 20]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,3825485,2024-09-18 20:11:54.654945,x86_64,39.30858778953552,112.56217599999944,441423872.0,80.0,20.0,1.7837806940078735,0.1283980582524271,0.0638002773925104,0.0222972586750984,1.90336549282074,0.1814814814814814,0.0864197530864197,0.0951682746410369,99.0,0.0254557609558105,,0.0242001175880432,,0.0233485847711563,,0.0227508977055549,,0.0223158240318298,,48.42380690574646,22015875.0,22040395.0,4.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",749174.0,0.0
8,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 428, 20]","[0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,2988399,2024-09-18 20:12:23.013499,x86_64,73.38215923309326,670.0974080000005,342086656.0,80.0,20.0,1.8497930765151973,0.1384615384615384,0.0659340659340659,0.0231224134564399,2.16465163230896,0.0391304347826086,0.0434782608695652,0.1082325816154479,0.0,,,,,,,,,,,2.303905963897705,22015875.0,22040395.0,16654354.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/428, 875/20",828896.0,0.0
9,v0.92 - 92,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,3,cuda,0.001,0.001,"[498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 498, 20]","[0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1726689934.8762655.pt,20,1516,3825485,2024-09-18 20:13:26.625806,x86_64,39.28040790557861,116.83020800000033,441273344.0,80.0,20.0,1.7255544662475586,0.1283980582524271,0.0638002773925104,0.0215694308280944,1.8850663900375368,0.1814814814814814,0.0864197530864197,0.0942533195018768,99.0,0.0240715458989143,,0.0229760810732841,,0.0223063558340072,,0.0218756839632988,,0.0215816423296928,,37.36643934249878,22015875.0,22040395.0,2.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",1048649.0,0.0
