"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,Info,Number of connected,csv row,pruning type
28,SYN Flood,6,0,
28,DNS Flood,6,0,
28,Dictionary Attack,6,0,
28,Benign,6,0,
28,UDP Flood,6,0,
28,ICMP Flood,6,0,
28,Slowloris,6,0,
28,OS Scan,6,0,
28,Port Scan,6,0,
28,Vulnerability Scan,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Highest Slowloris,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Second OS Scan,6,0,
27,None,6,0,
27,Second SYN Flood,6,0,
27,None,6,0,
27,Second Dictionary Attack,6,0,
27,None,6,0,
27,Lowest DNS Flood,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Highest Dictionary Attack,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Highest DNS Flood,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Second DNS Flood,6,0,
27,Lowest Dictionary Attack,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Lowest Slowloris,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Highest Benign,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Second Port Scan,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Highest SYN Flood,6,0,
27,None,6,0,
27,Lowest Benign,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,Second Benign,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
27,None,6,0,
