"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,43,7,0,
0,71,7,0,
0,74,1,0,
0,80,2,0,
0,91,1,0,
0,98,1,0,
0,141,1,0,
0,147,6,0,
0,154,1,0,
1,9,2,0,
1,12,1,0,
1,38,5,0,
1,39,1,0,
1,41,6,0,
1,87,3,0,
1,106,3,0,
1,116,1,0,
1,130,2,0,
1,149,3,0,
2,10,1,0,
2,18,1,0,
2,51,2,0,
2,65,1,0,
2,67,2,0,
2,69,4,0,
2,83,2,0,
2,88,1,0,
2,98,2,0,
2,107,2,0,
2,139,2,0,
2,162,1,0,
2,163,1,0,
3,2,1,0,
3,4,1,0,
3,22,1,0,
3,34,2,0,
3,45,6,0,
3,52,1,0,
3,74,2,0,
3,79,3,0,
3,89,2,0,
3,96,1,0,
3,100,2,0,
3,137,2,0,
3,169,3,0,
4,16,2,0,
4,22,5,0,
4,62,1,0,
4,65,1,0,
4,66,3,0,
4,101,1,0,
4,109,1,0,
4,115,4,0,
4,162,2,0,
5,77,2,0,
5,86,6,0,
5,93,2,0,
5,97,6,0,
5,106,1,0,
5,108,10,0,
5,116,1,0,
6,28,3,0,
6,40,5,0,
6,68,2,0,
6,104,6,0,
6,113,2,0,
6,142,2,0,
7,41,9,0,
7,53,2,0,
7,81,8,0,
7,106,2,0,
8,56,2,0,
8,86,8,0,
8,107,2,0,
8,132,8,0,
9,9,8,0,
9,35,8,0,
9,120,2,0,
9,181,2,0,
10,32,8,0,
10,37,2,0,
10,103,2,0,
10,105,10,0,
11,28,2,0,
11,45,8,0,
11,68,2,0,
11,124,8,0,
12,9,2,0,
12,59,8,0,
12,120,8,0,
12,130,2,0,
13,23,8,0,
13,38,2,0,
13,58,8,0,
13,98,2,0,
14,34,2,0,
14,82,8,0,
14,112,10,0,
14,153,2,0,
15,4,7,0,
15,43,8,0,
15,56,2,0,
15,58,1,0,
15,132,2,0,
16,49,8,0,
16,74,2,0,
16,131,8,0,
16,168,2,0,
17,14,8,0,
17,36,2,0,
17,162,10,0,
17,166,8,0,
18,40,8,0,
18,93,8,0,
18,122,2,0,
18,145,2,0,
19,1,2,0,
19,22,1,0,
19,36,1,0,
19,108,8,0,
19,185,8,0,
20,1,3,0,
20,23,7,0,
20,124,7,0,
20,151,8,0,
21,26,1,0,
21,96,7,0,
21,100,2,0,
21,165,2,0,
21,189,8,0,
22,11,1,0,
22,102,1,0,
22,105,6,0,
22,117,7,0,
22,151,1,0,
22,154,2,0,
22,187,2,0,
23,8,2,0,
23,32,1,0,
23,86,2,0,
23,107,5,0,
23,123,1,0,
23,154,7,0,
23,170,2,0,
24,56,5,0,
24,59,1,0,
24,73,2,0,
24,95,1,0,
24,132,3,0,
24,139,2,0,
24,174,4,0,
24,192,7,0,
25,0,3,0,
25,5,3,0,
25,51,4,0,
25,98,4,0,
25,100,5,0,
25,110,1,0,
25,112,1,0,
25,117,1,0,
25,147,2,0,
26,23,3,0,
26,30,1,0,
26,45,1,0,
26,81,1,0,
26,116,4,0,
26,126,1,0,
26,129,2,0,
26,145,5,0,
26,170,1,0,
26,184,4,0,
26,195,6,0,
27,2,2,0,
27,11,2,0,
27,28,1,0,
27,50,1,0,
27,51,1,0,
27,76,4,0,
27,79,4,0,
27,94,2,0,
27,105,1,0,
27,163,1,0,
27,181,2,0,
27,188,1,0,
27,200,2,0,
28,0,8,0,
28,1,1,0,
28,2,4,0,
28,3,8,0,
28,4,1,0,
28,5,2,0,
28,6,1,0,
28,7,1,0,
28,8,1,0,
28,9,3,0,
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 1).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,23,1,1,
0,27,7,1,
0,58,1,1,
0,88,8,1,
0,92,10,1,
1,26,4,1,
1,30,1,1,
1,102,1,1,
1,112,9,1,
1,117,8,1,
1,131,4,1,
2,17,1,1,
2,36,3,1,
2,67,2,1,
2,83,1,1,
2,129,4,1,
2,132,4,1,
2,135,2,1,
2,142,1,1,
2,143,1,1,
2,144,1,1,
3,5,3,1,
3,22,1,1,
3,41,1,1,
3,90,3,1,
3,95,4,1,
3,104,2,1,
3,117,1,1,
3,143,2,1,
3,150,1,1,
3,176,2,1,
4,21,10,1,
4,60,1,1,
4,134,8,1,
4,165,1,1,
5,144,10,1,
5,147,10,1,
6,4,10,1,
6,107,10,1,
7,64,10,1,
7,81,10,1,
8,27,10,1,
8,129,10,1,
9,155,10,1,
9,174,10,1,
10,60,10,1,
10,182,10,1,
11,20,9,1,
11,39,1,1,
11,123,10,1,
12,20,1,1,
12,30,9,1,
12,64,9,1,
12,69,1,1,
13,10,1,1,
13,17,9,1,
13,18,9,1,
13,145,1,1,
14,19,1,1,
14,41,9,1,
14,99,10,1,
15,3,9,1,
15,73,10,1,
15,78,1,1,
15,99,9,1,
16,113,1,1,
16,141,9,1,
16,175,1,1,
16,181,9,1,
17,67,1,1,
17,77,1,1,
17,124,9,1,
17,152,9,1,
18,38,9,1,
18,110,9,1,
18,113,1,1,
18,136,1,1,
19,12,9,1,
19,31,9,1,
19,148,1,1,
19,188,1,1,
20,18,2,1,
20,74,2,1,
20,102,1,1,
20,112,8,1,
20,119,1,1,
20,146,5,1,
20,180,1,1,
21,76,7,1,
21,121,1,1,
21,146,1,1,
21,151,2,1,
21,183,1,1,
21,185,8,1,
22,21,1,1,
22,39,9,1,
22,43,1,1,
22,73,1,1,
22,98,2,1,
22,111,7,1,
23,15,1,1,
23,22,2,1,
23,102,1,1,
23,153,2,1,
23,179,8,1,
23,182,5,1,
23,183,1,1,
24,17,1,1,
24,34,1,1,
24,48,8,1,
24,56,1,1,
24,115,1,1,
24,128,1,1,
24,134,7,1,
25,16,3,1,
25,24,1,1,
25,46,1,1,
25,56,2,1,
