"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,43,6,9,0,
0,74,1,9,0,
0,80,1,9,0,
0,91,1,9,0,
1,9,2,9,0,
1,12,1,9,0,
1,39,1,9,0,
1,116,1,9,0,
1,130,2,9,0,
1,149,3,9,0,
2,18,1,9,0,
2,51,2,9,0,
2,65,1,9,0,
2,67,2,9,0,
2,69,2,9,0,
2,83,2,9,0,
2,88,1,9,0,
2,98,1,9,0,
2,107,2,9,0,
2,139,2,9,0,
3,2,1,9,0,
3,4,1,9,0,
3,22,1,9,0,
3,34,1,9,0,
3,45,1,9,0,
3,74,2,9,0,
3,89,2,9,0,
3,100,2,9,0,
3,137,2,9,0,
4,62,1,9,0,
4,65,1,9,0,
4,101,1,9,0,
4,109,1,9,0,
4,162,2,9,0,
5,77,2,9,0,
5,97,5,9,0,
5,106,1,9,0,
5,108,2,9,0,
5,116,1,9,0,
6,28,3,9,0,
6,40,4,9,0,
6,68,2,9,0,
6,113,2,9,0,
7,53,2,9,0,
7,106,2,9,0,
8,56,2,9,0,
8,107,2,9,0,
8,132,7,9,0,
9,120,2,9,0,
9,181,2,9,0,
10,32,7,9,0,
10,37,2,9,0,
10,103,2,9,0,
10,105,7,9,0,
11,28,2,9,0,
11,45,7,9,0,
11,68,2,9,0,
12,9,2,9,0,
12,59,7,9,0,
12,120,7,9,0,
12,130,2,9,0,
13,23,7,9,0,
13,38,2,9,0,
13,58,7,9,0,
13,98,2,9,0,
14,112,7,9,0,
14,153,2,9,0,
15,43,7,9,0,
15,56,2,9,0,
15,132,2,9,0,
16,49,7,9,0,
16,74,2,9,0,
16,168,2,9,0,
17,14,7,9,0,
17,36,2,9,0,
17,162,2,9,0,
17,166,7,9,0,
18,40,7,9,0,
18,93,7,9,0,
18,122,2,9,0,
18,145,2,9,0,
19,1,2,9,0,
19,22,1,9,0,
19,36,1,9,0,
19,108,6,9,0,
20,1,3,9,0,
20,23,2,9,0,
20,124,1,9,0,
20,151,2,9,0,
21,26,1,9,0,
21,96,2,9,0,
21,100,2,9,0,
21,165,2,9,0,
22,11,1,9,0,
22,154,2,9,0,
23,123,1,9,0,
23,154,3,9,0,
24,59,1,9,0,
25,147,1,9,0,
26,23,1,9,0,
26,126,1,9,0,
26,195,1,9,0,
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 1).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,23,1,9,1,
0,88,7,9,1,
1,26,1,9,1,
1,112,7,9,1,
1,117,7,9,1,
1,131,1,9,1,
2,36,3,9,1,
2,135,2,9,1,
2,142,1,9,1,
2,144,1,9,1,
3,104,2,9,1,
3,117,1,9,1,
4,21,9,9,1,
4,134,8,9,1,
5,144,9,9,1,
6,4,9,9,1,
6,107,9,9,1,
7,81,9,9,1,
8,27,9,9,1,
9,174,9,9,1,
10,60,9,9,1,
10,182,9,9,1,
11,20,8,9,1,
11,39,1,9,1,
12,30,8,9,1,
12,64,8,9,1,
12,69,1,9,1,
13,10,1,9,1,
13,17,8,9,1,
13,18,8,9,1,
13,145,1,9,1,
14,19,1,9,1,
14,41,8,9,1,
14,99,9,9,1,
15,3,8,9,1,
15,73,1,9,1,
15,78,1,9,1,
15,99,8,9,1,
16,113,1,9,1,
16,141,8,9,1,
16,175,1,9,1,
17,67,1,9,1,
17,77,1,9,1,
17,124,8,9,1,
18,110,8,9,1,
18,113,1,9,1,
19,31,8,9,1,
19,148,1,9,1,
19,188,1,9,1,
20,112,7,9,1,
20,119,1,9,1,
20,180,1,9,1,
21,76,6,9,1,
21,151,2,9,1,
21,183,1,9,1,
21,185,1,9,1,
22,21,1,9,1,
22,39,1,9,1,
22,98,1,9,1,
22,111,1,9,1,
25,78,2,9,1,
26,38,1,9,1,
26,187,1,9,1,
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 2).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,69,2,9,2,
0,122,5,9,2,
0,168,2,9,2,
0,172,1,9,2,
1,0,1,9,2,
1,9,1,9,2,
1,11,1,9,2,
1,15,1,9,2,
1,34,1,9,2,
1,48,1,9,2,
1,79,3,9,2,
1,99,1,9,2,
1,105,1,9,2,
1,120,3,9,2,
1,162,2,9,2,
2,55,1,9,2,
2,87,1,9,2,
2,124,1,9,2,
2,129,2,9,2,
2,163,5,9,2,
2,170,2,9,2,
3,17,6,9,2,
3,98,6,9,2,
3,103,2,9,2,
3,139,1,9,2,
3,169,1,9,2,
4,21,1,9,2,
4,43,7,9,2,
4,57,1,9,2,
4,75,1,9,2,
4,120,1,9,2,
5,21,1,9,2,
5,64,8,9,2,
5,78,1,9,2,
6,88,8,9,2,
6,130,1,9,2,
6,168,8,9,2,
6,177,1,9,2,
7,98,8,9,2,
7,158,9,9,2,
8,97,9,9,2,
9,40,8,9,2,
9,102,9,9,2,
9,181,1,9,2,
10,7,8,9,2,
10,16,9,9,2,
10,155,1,9,2,
11,21,9,9,2,
11,76,9,9,2,
12,161,9,9,2,
13,55,9,9,2,
13,87,9,9,2,
14,66,9,9,2,
14,68,9,9,2,
15,52,9,9,2,
15,61,9,9,2,
16,147,9,9,2,
17,46,8,9,2,
17,160,9,9,2,
17,188,1,9,2,
18,123,9,9,2,
18,186,9,9,2,
19,12,9,9,2,
20,192,9,9,2,
21,151,6,9,2,
22,32,1,9,2,
23,2,4,9,2,
23,43,1,9,2,
23,79,1,9,2,
24,166,1,9,2,
24,187,1,9,2,
25,41,1,9,2,
25,53,1,9,2,
25,91,1,9,2,
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 3).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,39,1,1,3,TOFD
0,87,1,1,3,TOFD
1,9,1,1,3,TOFD
1,81,1,1,3,TOFD
2,14,1,1,3,TOFD
2,98,1,1,3,TOFD
3,31,1,1,3,TOFD
3,72,1,1,3,TOFD
4,68,1,1,3,TOFD
4,79,1,1,3,TOFD
5,14,1,1,3,TOFD
5,68,1,1,3,TOFD
6,4,1,1,3,TOFD
7,95,1,1,3,TOFD
7,98,1,1,3,TOFD
8,31,1,1,3,TOFD
8,64,1,1,3,TOFD
9,15,1,1,3,TOFD
10,14,1,1,3,TOFD
10,31,1,1,3,TOFD
11,21,1,1,3,TOFD
11,99,1,1,3,TOFD
12,42,1,1,3,TOFD
12,104,1,1,3,TOFD
13,36,1,1,3,TOFD
13,82,1,1,3,TOFD
14,29,1,1,3,TOFD
16,51,1,1,3,TOFD
16,59,1,1,3,TOFD
18,31,1,1,3,TOFD
19,0,1,1,3,TOFD
19,98,1,1,3,TOFD
20,58,1,1,3,TOFD
20,90,1,1,3,TOFD
21,26,1,1,3,TOFD
22,7,1,1,3,TOFD
22,39,1,1,3,TOFD
27,15,1,1,3,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 4).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,50,1,1,4,TOFD
0,95,1,1,4,TOFD
1,16,1,1,4,TOFD
1,75,1,1,4,TOFD
2,10,1,1,4,TOFD
2,90,1,1,4,TOFD
3,18,1,1,4,TOFD
3,55,1,1,4,TOFD
4,3,1,1,4,TOFD
4,26,1,1,4,TOFD
5,77,1,1,4,TOFD
6,76,1,1,4,TOFD
7,5,1,1,4,TOFD
7,54,1,1,4,TOFD
8,53,1,1,4,TOFD
9,46,1,1,4,TOFD
9,101,1,1,4,TOFD
10,31,1,1,4,TOFD
11,81,1,1,4,TOFD
11,82,1,1,4,TOFD
12,58,1,1,4,TOFD
12,100,1,1,4,TOFD
13,12,1,1,4,TOFD
13,72,1,1,4,TOFD
14,88,1,1,4,TOFD
14,104,1,1,4,TOFD
15,13,1,1,4,TOFD
15,49,1,1,4,TOFD
17,33,1,1,4,TOFD
18,28,1,1,4,TOFD
18,103,1,1,4,TOFD
19,77,1,1,4,TOFD
19,91,1,1,4,TOFD
20,85,1,1,4,TOFD
21,10,1,1,4,TOFD
22,67,1,1,4,TOFD
26,99,1,1,4,TOFD
27,90,1,1,4,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 6).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,8,1,1,6,TOFD
0,17,1,1,6,TOFD
1,40,1,1,6,TOFD
1,75,1,1,6,TOFD
2,17,1,1,6,TOFD
2,49,1,1,6,TOFD
3,11,1,1,6,TOFD
3,12,1,1,6,TOFD
4,78,1,1,6,TOFD
4,93,1,1,6,TOFD
5,19,1,1,6,TOFD
5,77,1,1,6,TOFD
6,83,1,1,6,TOFD
7,5,1,1,6,TOFD
7,39,1,1,6,TOFD
8,22,1,1,6,TOFD
