"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,130,1,10,28,RandomStructured|0.99
0,155,6,10,28,RandomStructured|0.99
0,158,1,10,28,RandomStructured|0.99
1,29,1,10,28,RandomStructured|0.99
1,31,2,10,28,RandomStructured|0.99
1,37,1,10,28,RandomStructured|0.99
1,46,4,10,28,RandomStructured|0.99
1,50,1,10,28,RandomStructured|0.99
1,134,1,10,28,RandomStructured|0.99
1,168,2,10,28,RandomStructured|0.99
1,174,1,10,28,RandomStructured|0.99
2,11,3,10,28,RandomStructured|0.99
2,31,2,10,28,RandomStructured|0.99
2,62,1,10,28,RandomStructured|0.99
2,82,1,10,28,RandomStructured|0.99
2,121,1,10,28,RandomStructured|0.99
2,138,1,10,28,RandomStructured|0.99
3,46,1,10,28,RandomStructured|0.99
3,53,1,10,28,RandomStructured|0.99
3,64,1,10,28,RandomStructured|0.99
3,74,1,10,28,RandomStructured|0.99
3,153,2,10,28,RandomStructured|0.99
3,170,1,10,28,RandomStructured|0.99
4,50,2,10,28,RandomStructured|0.99
4,88,1,10,28,RandomStructured|0.99
4,129,3,10,28,RandomStructured|0.99
4,151,1,10,28,RandomStructured|0.99
5,3,1,10,28,RandomStructured|0.99
5,37,1,10,28,RandomStructured|0.99
5,69,5,10,28,RandomStructured|0.99
6,77,3,10,28,RandomStructured|0.99
6,110,2,10,28,RandomStructured|0.99
7,93,6,10,28,RandomStructured|0.99
8,68,1,10,28,RandomStructured|0.99
8,97,6,10,28,RandomStructured|0.99
8,140,1,10,28,RandomStructured|0.99
9,91,1,10,28,RandomStructured|0.99
9,100,9,10,28,RandomStructured|0.99
9,131,1,10,28,RandomStructured|0.99
10,6,4,10,28,RandomStructured|0.99
10,55,7,10,28,RandomStructured|0.99
10,76,1,10,28,RandomStructured|0.99
11,51,1,10,28,RandomStructured|0.99
11,153,9,10,28,RandomStructured|0.99
11,158,1,10,28,RandomStructured|0.99
11,179,1,10,28,RandomStructured|0.99
12,118,1,10,28,RandomStructured|0.99
13,43,1,10,28,RandomStructured|0.99
13,112,7,10,28,RandomStructured|0.99
13,148,1,10,28,RandomStructured|0.99
14,36,1,10,28,RandomStructured|0.99
14,57,3,10,28,RandomStructured|0.99
14,102,1,10,28,RandomStructured|0.99
14,118,1,10,28,RandomStructured|0.99
15,107,1,10,28,RandomStructured|0.99
15,116,1,10,28,RandomStructured|0.99
15,145,3,10,28,RandomStructured|0.99
15,146,2,10,28,RandomStructured|0.99
16,22,1,10,28,RandomStructured|0.99
16,65,8,10,28,RandomStructured|0.99
16,70,1,10,28,RandomStructured|0.99
16,96,2,10,28,RandomStructured|0.99
16,144,1,10,28,RandomStructured|0.99
16,157,1,10,28,RandomStructured|0.99
17,4,6,10,28,RandomStructured|0.99
17,20,1,10,28,RandomStructured|0.99
17,25,3,10,28,RandomStructured|0.99
17,28,2,10,28,RandomStructured|0.99
17,58,1,10,28,RandomStructured|0.99
18,52,1,10,28,RandomStructured|0.99
18,98,2,10,28,RandomStructured|0.99
18,104,1,10,28,RandomStructured|0.99
18,122,1,10,28,RandomStructured|0.99
18,165,2,10,28,RandomStructured|0.99
19,10,2,10,28,RandomStructured|0.99
19,31,1,10,28,RandomStructured|0.99
20,48,1,10,28,RandomStructured|0.99
20,59,1,10,28,RandomStructured|0.99
20,94,2,10,28,RandomStructured|0.99
20,176,2,10,28,RandomStructured|0.99
20,184,4,10,28,RandomStructured|0.99
21,3,1,10,28,RandomStructured|0.99
21,38,2,10,28,RandomStructured|0.99
21,90,2,10,28,RandomStructured|0.99
22,15,1,10,28,RandomStructured|0.99
22,20,1,10,28,RandomStructured|0.99
22,118,1,10,28,RandomStructured|0.99
23,112,1,10,28,RandomStructured|0.99
24,164,1,10,28,RandomStructured|0.99
25,110,1,10,28,RandomStructured|0.99
26,107,1,10,28,RandomStructured|0.99
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,99,1,10,32,RandomStructured|0.79
0,158,2,10,32,RandomStructured|0.79
0,168,1,10,32,RandomStructured|0.79
