,Version,Notes,LossFunction,Optimizer,LearningRate,SchedulerLR,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,DAISRegularizerScale,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,additive_loss,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_additive_loss,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,Zeroed_filter_inputs,Zeroed_filter_outputs,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow,f1_scores_all_0,f1_scores_all_1,f1_scores_all_2,f1_scores_all_3,f1_scores_all_4,f1_scores_all_5,f1_scores_all_6,f1_scores_all_7,f1_scores_all_8,f1_scores_all_9,f1_scores_all,val_f1_scores_all_0,val_f1_scores_all_1,val_f1_scores_all_2,val_f1_scores_all_3,val_f1_scores_all_4,val_f1_scores_all_5,val_f1_scores_all_6,val_f1_scores_all_7,val_f1_scores_all_8,val_f1_scores_all,f1_scores_all_10,val_f1_scores_all_9,val_f1_scores_all_10
0,v0.96 - 96,0,CrossEntropy,Adam,0.000904255,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",ModelStateDict1727279859.762903.pt,,10,1516,37680,2024-09-25 11:55:49.605148,i386,0.035132884979248,9.916416000000028,0.0,800.0,200.0,1.3613159656524658,0.2021948998178506,0.1085610200364298,0.0,0.0017016449570655,1.3170266151428225,0.2092753623188405,0.1101449275362318,0.0,0.0065851330757141,99.0,0.0017783384025096,ModelStateDict-Waypoint_0-1727279769.1148171.pt,0.0017152072489261,ModelStateDict-Waypoint_1-1727279790.906136.pt,0.0017050796747207,ModelStateDict-Waypoint_2-1727279811.9860742.pt,0.0017019414901733,ModelStateDict-Waypoint_3-1727279834.1143968.pt,0.0017025123536586,ModelStateDict-Waypoint_4-1727279857.8343549.pt,109.55711102485655,22651822.0,22676710.0,0.0,0.0,0.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/10","1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/10",228622.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,v0.96 - 96,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,38644,2024-09-25 12:34:31.017960,i386,1347.613981962204,-691.5809279999994,0.0,800.0,200.0,,0.2021948998178506,0.1085610200364298,0.0,,,0.2092753623188405,0.1101449275362318,0.0,,0.0,,,,,,,,,,,0.7023360729217529,13683714.0,6854742.0,0.0,0.0,0.0,"1516/867, 867/438, 438/439, 439/439, 439/440, 440/440, 440/441, 441/441, 441/442, 442/442, 442/443, 443/443, 443/444, 444/444, 444/445, 445/445, 445/446, 446/446, 446/447, 447/447, 447/448, 448/448, 448/449, 449/449, 449/450, 450/450, 450/451, 451/451, 451/10","1516/867, 867/438, 438/439, 439/439, 439/440, 440/440, 440/441, 441/441, 441/442, 442/442, 442/443, 443/443, 443/444, 444/444, 444/445, 445/445, 445/446, 446/446, 446/447, 447/447, 447/448, 448/448, 448/449, 449/449, 449/450, 450/450, 450/451, 451/451, 451/10",216028.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,v0.97 - 97,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,48679,2024-09-25 14:50:57.007678,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,v0.97 - 97,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,51653,2024-09-25 22:27:25.768207,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,v0.99 - 99,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,62629,2024-09-26 23:55:14.552824,i386,2.228389978408813,-25.95635199999924,0.0,800.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,v0.99 - 99,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,65792,2024-09-27 12:06:43.788708,i386,2.446899175643921,-275.4150400000017,0.0,800.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,v0.99 - 99,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[866, 438, 438, 439, 439, 440, 440, 441, 441, 442, 442, 443, 443, 444, 444, 445, 445, 446, 446, 447, 447, 448, 448, 449, 449, 450, 450, 451, 10]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,66491,2024-09-27 12:20:57.905848,i386,4.889005184173584,-98.49651199999973,0.0,800.0,200.0,194693233115136.0,0.204897201946472,0.1220924574209245,0.0,243366541393.92,192301456424960.0,0.2092753623188405,0.1101449275362318,0.0,961507282124.8,99.0,50176626524160.0,,1109426039685.12,,334095838085.12,,281549366886.4,,243506043944.96,,66.1287350654602,6841857.0,6854742.0,0.0,0.0,0.0,"1516/867, 867/438, 438/439, 439/439, 439/440, 440/440, 440/441, 441/441, 441/442, 442/442, 442/443, 443/443, 443/444, 444/444, 444/445, 445/445, 445/446, 446/446, 446/447, 447/447, 447/448, 448/448, 448/449, 449/449, 449/450, 450/450, 450/451, 451/451, 451/10","1516/867, 867/438, 438/439, 439/439, 439/440, 440/440, 440/441, 441/441, 441/442, 442/442, 442/443, 443/443, 443/444, 444/444, 444/445, 445/445, 445/446, 446/446, 446/447, 447/447, 447/448, 448/448, 448/449, 449/449, 449/450, 450/450, 450/451, 451/451, 451/10",196877.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,v0.99 - 99,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[761, 385, 385, 386, 386, 387, 387, 388, 388, 388, 389, 389, 390, 390, 391, 391, 392, 392, 392, 393, 393, 394, 394, 395, 395, 396, 396, 396, 10]","[0.87, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,66491,2024-09-27 12:22:15.854339,i386,5.1488237380981445,-79.03232000000025,0.0,800.0,200.0,189991632896.0,0.3294119677586858,0.2113694297583081,0.0,237489541.12,182154379264.0,0.3097987878787879,0.1907393939393939,0.0,910771896.32,99.0,2031398231736.32,,103735340564.48,,635794104.32,,292676362.24,,237434880.0,,58.19682312011719,5441392.0,5452738.0,0.0,0.0,0.0,"1516/762, 762/386, 386/386, 386/387, 387/387, 387/388, 388/388, 388/389, 389/389, 389/389, 389/390, 390/390, 390/391, 391/391, 391/392, 392/392, 392/393, 393/393, 393/393, 393/394, 394/394, 394/395, 395/395, 395/396, 396/396, 396/396, 396/397, 397/397, 397/10","1516/762, 762/386, 386/386, 386/387, 387/387, 387/388, 388/388, 388/389, 389/389, 389/389, 389/390, 390/390, 390/391, 391/391, 391/392, 392/392, 392/393, 393/393, 393/393, 393/394, 394/394, 394/395, 395/395, 395/396, 396/396, 396/396, 396/397, 397/397, 397/10",343782.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,v0.99 - 99,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[647, 332, 333, 333, 334, 334, 334, 335, 335, 335, 336, 336, 337, 337, 337, 338, 338, 338, 339, 339, 340, 340, 340, 341, 341, 342, 342, 342, 10]","[0.74, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 0.38, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,66491,2024-09-27 12:23:24.939874,i386,4.664903879165649,117.70675200000004,0.0,800.0,200.0,18840731648.0,0.004861650887885,0.01488071888156,0.0,23550914.56,19221055488.0,0.0023671497584541,0.0135265700483091,0.0,96105277.44,99.0,569749708.8,,5256509521.92,,97697761.28,,26579176.96,,23479649.28,,57.67391109466553,4177538.0,4187330.0,0.0,0.0,0.0,"1516/648, 648/333, 333/334, 334/334, 334/335, 335/335, 335/335, 335/336, 336/336, 336/336, 336/337, 337/337, 337/338, 338/338, 338/338, 338/339, 339/339, 339/339, 339/340, 340/340, 340/341, 341/341, 341/341, 341/342, 342/342, 342/342, 342/343, 343/343, 343/10","1516/648, 648/333, 333/334, 334/334, 334/335, 335/335, 335/335, 335/336, 336/336, 336/336, 336/337, 337/337, 337/338, 338/338, 338/338, 338/339, 339/339, 339/339, 339/340, 340/340, 340/341, 341/341, 341/341, 341/342, 342/342, 342/342, 342/343, 343/343, 343/10",311328.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,v0.99 - 99,0,CrossEntropy,Adam,0.02,1,100,MainLinear,0.000224328,27,875,ACI_grouped,3000,0.2,1000,-2,0,cpu,0.001,0.001,"[542, 271, 271, 272, 272, 272, 273, 273, 273, 274, 274, 274, 274, 275, 275, 275, 276, 276, 276, 277, 277, 277, 278, 278, 278, 279, 279, 279, 10]","[0.62, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 0.31, 1.0]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 10]",,ModelStateDict1727279859.762903.pt,10,1516,66491,2024-09-27 12:24:33.899179,i386,4.978460073471069,-146.15347199999997,0.0,800.0,200.0,66536780.0,0.1908243566772491,0.107375661148008,0.0,83170.975,65452632.0,0.2092753623188405,0.1101449275362318,0.0,327263.16,99.0,4501.2525,,109339320.32,,764519.04,,299770.64,,84291.64,,51.41519021987915,2955502.0,2963509.0,0.0,0.0,0.0,"1516/543, 543/272, 272/272, 272/273, 273/273, 273/273, 273/274, 274/274, 274/274, 274/275, 275/275, 275/275, 275/275, 275/276, 276/276, 276/276, 276/277, 277/277, 277/277, 277/278, 278/278, 278/278, 278/279, 279/279, 279/279, 279/279, 279/280, 280/280, 280/10","1516/543, 543/272, 272/272, 272/273, 273/273, 273/273, 273/274, 274/274, 274/274, 274/275, 275/275, 275/275, 275/275, 275/276, 276/276, 276/276, 276/277, 277/277, 277/277, 277/278, 278/278, 278/278, 278/279, 279/279, 279/279, 279/279, 279/280, 280/280, 280/10",276615.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
