,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,DatasetName,BatchSize,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,SaveLocation,FromSaveLocation,ProcessID,StartTime,cpuModel,TimeForRun,total_loss,f1_score,mean_loss,val_total_loss,val_f1_score,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,TrainTest,MaxSamples,LengthOfTrainingData,LengthOfValidationData,LayerIteration,GarbageCollectionSizeTotal
0,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",,0.5,0.5,,,47889,2024-08-21 16:49:06.948885,i386,3.0994415283203125e-06,0.00171589695708,1.0,5.719656523600254e-07,0.0,0.0,0.0,9.0,0.2309815889061574,ModelStateDict-Waypoint_0-1724273369.5363252.pt,2.0687231513875305e-05,ModelStateDict-Waypoint_1-1724273414.983936.pt,6.346011040477606e-06,ModelStateDict-Waypoint_2-1724273459.984232.pt,2.3334600024706256e-06,ModelStateDict-Waypoint_3-1724273505.013431.pt,9.071019060229446e-07,ModelStateDict-Waypoint_4-1724273551.318526.pt,26896.0,19372.0,0.0,"4/48, 36/9, 90/100, 100/100","4/48, 36/9, 90/100, 100/100",,,,,,
1,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",DAIS_training|DAIS,0.5,0.5,,,47889,2024-08-21 16:54:53.286693,i386,118.08859491348268,133007.79724121094,0.0,44.33593241373698,0.0,0.0,0.0,9.0,44.33593241373698,,44.33593241373698,,44.33593241373698,,44.33593241373698,,44.33593241373698,,26896.0,19372.0,12302.0,"4/48, 36/9, 90/100, 100/100","4/48, 36/3, 90/33, 100/38",,,,,,
2,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",BERT_theseus_training|BERT_theseus,0.5,0.5,,,47889,2024-08-21 17:02:07.598583,i386,210.64196395874023,25825.19721984864,0.0,8.608399073282877,0.0,0.0,0.0,9.0,8.608399073282877,,8.608399073282877,,8.608399073282877,,8.608399073282877,,8.608399073282877,,25390.0,19416.0,0.0,"71/213, 90/100, 100/100","71/213, 90/100, 100/100",,,,,,
3,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,,,47889,2024-08-21 20:47:29.801978,i386,13251.58579993248,83443.84002685547,0.0,27.81461334228516,0.0,0.0,0.0,9.0,27.81461334228516,,27.81461334228516,,27.81461334228516,,27.81461334228516,,27.81461334228516,,12924.0,9336.0,0.0,"4/32, 24/3, 30/70, 70/100","4/32, 24/3, 30/70, 70/100",,,,,,
4,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",thinet,0.5,0.5,,,47889,2024-08-21 20:50:58.038267,i386,1.1482586860656738,4613.607406616211,0.0,1.537869135538737,0.0,0.0,0.0,9.0,1.537869135538737,,1.537869135538737,,1.537869135538737,,1.537869135538737,,1.537869135538737,,13112.0,8252.0,0.0,"4/36, 27/6, 60/50, 50/100","4/36, 27/6, 60/50, 50/100",,,,,,
5,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",ADDM_Joint,0.5,0.5,,,47889,2024-08-21 21:03:33.906954,i386,543.9576947689056,22751232000.0,0.1666666666666666,7583744.0,0.0,0.0,0.0,9.0,7583744.0,,7583744.0,,7583744.0,,7583744.0,,7583744.0,,26896.0,19372.0,4768.0,"4/48, 36/9, 90/100, 100/100","4/34, 30/9, 90/100, 100/100",,,,,,
6,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",DAIS_training|DAIS,0.5,0.5,,,47889,2024-08-21 21:12:01.016732,i386,277.218407869339,22732800000.0,0.1666666666666666,7577600.0,0.0,0.0,0.0,9.0,7577600.0,,7577600.0,,7577600.0,,7577600.0,,7577600.0,,26896.0,19372.0,4768.0,"4/48, 36/9, 90/100, 100/100","4/34, 30/9, 90/100, 100/100",,,,,,
7,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",DAIS_training|DAIS|iteritive_full_theseus_training|iteritive_full_theseus,0.5,0.5,,,47889,2024-08-21 22:11:47.779297,i386,3350.2791469097137,959452.6977539062,0.0,319.81756591796875,0.0,0.0,0.0,9.0,319.81756591796875,,319.81756591796875,,319.81756591796875,,319.81756591796875,,319.81756591796875,,12924.0,9336.0,1413.0,"4/32, 24/3, 30/70, 70/100","4/32, 24/3, 30/70, 70/100",,,,,,
8,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",DAIS_training|DAIS|iteritive_full_theseus_training|iteritive_full_theseus|thinet,0.5,0.5,,,47889,2024-08-21 22:15:40.989323,i386,0.7760021686553955,25949150.390625,0.0,8649.716796875,0.0,0.0,0.0,9.0,8649.716796875,,8649.716796875,,8649.716796875,,8649.716796875,,8649.716796875,,7418.0,4735.0,770.0,"4/24, 18/3, 30/35, 35/100","4/24, 18/3, 30/35, 35/100",,,,,,
9,v0.45 - 45,0,CrossEntropy,Adam,0.0001,10,SimpleCNN,RandomDummy,3,-2,3,cpu,0.0005,0.0015,"[3, 1, 3, 3]","[0.72, 0.5, 0.7, 0.8]",DAIS_training|DAIS|iteritive_full_theseus_training|iteritive_full_theseus|thinet|ADDM_Joint,0.5,0.5,,,47889,2024-08-21 22:29:20.637023,i386,592.3052749633789,45570576384000.0,0.1666666666666666,15190192128.0,0.0,0.0,0.0,9.0,15190192128.0,,15190192128.0,,15190192128.0,,15190192128.0,,15190192128.0,,7418.0,4735.0,1101.0,"4/24, 18/3, 30/35, 35/100","4/17, 9/3, 30/35, 35/100",,,,,,
