,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LayerIteration,SaveLocation,FromSaveLocation,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score,mean_loss,val_total_loss,val_f1_score,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
0,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.7, 0.5]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87700,2024-08-29 22:24:14.105537,i386,8.678436279296875e-05,0.0,80.0,20.0,79038.37462615967,0.9173823529411764,987.9796828269958,67965.63354492188,0.6599999999999999,3398.2816772460938,9.0,289.61531788110733,ModelStateDict-Waypoint_0-1724984654.566844.pt,392.9360677546821,ModelStateDict-Waypoint_1-1724984654.844686.pt,352.2553584128618,ModelStateDict-Waypoint_2-1724984655.1262689.pt,299.1950230836868,ModelStateDict-Waypoint_3-1724984655.4118998.pt,428.33793392181394,ModelStateDict-Waypoint_4-1724984655.740077.pt,1.7041561603546145,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,
1,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87789,2024-08-29 22:25:20.190512,i386,0.000112771987915,0.0,80.0,20.0,31971.744415283203,0.9433823529411764,399.64680519104,18077.75457763672,0.7951048951048951,903.887728881836,9.0,203.55330616235733,ModelStateDict-Waypoint_0-1724984720.508388.pt,141.16262715160846,ModelStateDict-Waypoint_1-1724984720.946789.pt,104.5807596206665,ModelStateDict-Waypoint_2-1724984721.230069.pt,374.1838559627533,ModelStateDict-Waypoint_3-1724984721.5158799.pt,1333.8823490142822,ModelStateDict-Waypoint_4-1724984721.8376698.pt,1.7075920104980469,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,
2,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",TOFD_INCOMPLETE,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87789,2024-08-29 22:25:23.396116,i386,1.0072259902954102,0.0,80.0,20.0,,0.0,,,0.0,,9.0,,,,,,,,,,,1.1832246780395508,37682.0,19083.0,0.0,"100/91, 91/51, 51/100","100/91, 91/51, 51/100",6879.0,1.0
3,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87789,2024-08-29 22:25:25.080312,i386,0.0309441089630126,0.0,80.0,20.0,5875.14453125,0.9627358490566038,73.439306640625,5875.14453125,0.8538461538461538,293.7572265625,9.0,73.439306640625,,73.439306640625,,73.439306640625,,73.439306640625,,73.439306640625,,1.237901210784912,30602.0,30905.0,6251.0,"100/101, 101/102, 102/100","100/90, 101/51, 102/100",5970.0,1.0
4,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87789,2024-08-29 22:25:33.167104,i386,6.405149936676025,0.0,80.0,20.0,2403500.7109375,0.0003086419753086,30043.75888671875,585158.9921875,0.0047619047619047,29257.949609375,9.0,30043.75888671875,,30043.75888671875,,30043.75888671875,,30043.75888671875,,30043.75888671875,,1.248495101928711,30602.0,30905.0,20967.0,"100/101, 101/102, 102/100","100/63, 101/31, 102/2",5970.0,1.0
5,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:26:32.555076,i386,0.0002839565277099,0.0,80.0,20.0,40788.923828125,0.950235849056604,509.8615478515625,13628.7109375,0.8681818181818182,681.435546875,9.0,198.9488341655524,ModelStateDict-Waypoint_0-1724984792.972322.pt,179.75882279872894,ModelStateDict-Waypoint_1-1724984793.400012.pt,154.06134045124054,ModelStateDict-Waypoint_2-1724984793.8269691.pt,950.4736335754394,ModelStateDict-Waypoint_3-1724984794.306098.pt,1346.3692504882813,ModelStateDict-Waypoint_4-1724984794.7658749.pt,2.29988694190979,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,
6,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",TOFD_INCOMPLETE,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:26:36.773871,i386,1.2220790386199951,0.0,80.0,20.0,,0.0,,,0.0,,9.0,,,,,,,,,,,1.7300448417663574,37682.0,19083.0,0.0,"100/91, 91/51, 51/100","100/91, 91/51, 51/100",6879.0,5.0
7,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:26:39.223251,i386,0.0225918292999267,0.0,80.0,20.0,75674.94921875,0.644760781671159,945.936865234375,19911.74609375,0.5894230769230769,995.5873046875,9.0,945.936865234375,,945.936865234375,,945.936865234375,,945.936865234375,,945.936865234375,,1.2852859497070312,30602.0,30905.0,6251.0,"100/101, 101/102, 102/100","100/90, 101/51, 102/100",5970.0,5.0
8,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:26:46.675659,i386,5.68541407585144,0.0,80.0,20.0,2299746.7421875,0.0,28746.83427734375,607918.4609375,0.0,30395.923046875,9.0,28746.83427734375,,28746.83427734375,,28746.83427734375,,28746.83427734375,,28746.83427734375,,1.0914278030395508,30602.0,30905.0,18630.0,"100/101, 101/102, 102/100","100/52, 101/62, 102/5",5970.0,5.0
9,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,87966,2024-08-29 22:26:48.905373,i386,0.6769759654998779,0.0,80.0,20.0,5416.6256103515625,0.0,67.70782012939453,1400.4900512695312,0.0,70.02450256347656,9.0,67.70782012939453,,67.70782012939453,,67.70782012939453,,67.70782012939453,,67.70782012939453,,1.0750620365142822,10000.0,10100.0,0.0,100/100,100/100,5972.0,5.0
