,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow,Zeroed_filter_inputs,Zeroed_filter_outputs,additive_loss,val_additive_loss,DAISRegularizerScale,SchedulerLR
0,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",ModelStateDict1726630905.3882601.pt,,20,1516,29632,2024-09-17 23:41:14.392088,i386,0.0002400875091552,0.0122879999998986,0.0,80.0,20.0,7.133523688871166e+19,0.1283980582524271,0.0638002773925104,8.916904611088957e+17,2.0073511109422744e+20,0.0391304347826086,0.0434782608695652,1.0036755554711372e+19,99.0,8.630311407751004e+17,ModelStateDict-Waypoint_0-1726630880.831626.pt,4.460362871924484e+18,ModelStateDict-Waypoint_1-1726630886.516308.pt,1.685181009864373e+19,ModelStateDict-Waypoint_2-1726630892.047606.pt,1.6512357873800443e+18,ModelStateDict-Waypoint_3-1726630898.409695.pt,1.765609515778048e+18,ModelStateDict-Waypoint_4-1726630904.204074.pt,29.189664125442505,22660842.0,22685740.0,0.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20","1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20",228682.0,,,,,,,
1,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,30369,2024-09-17 23:51:04.502625,i386,42.75493812561035,355.95059200000105,0.0,80.0,20.0,1.6678928136825562,0.1384615384615384,0.0659340659340659,0.0208486601710319,1.88208270072937,0.0391304347826086,0.0434782608695652,0.0941041350364685,99.0,0.0228696778416633,,0.0217876240611076,,0.021274621784687,,0.0210094258189201,,0.020854714512825,,26.35844397544861,22660842.0,22685740.0,3.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20","1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20",380286.0,0.0,,,,,,
2,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.7, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,30369,2024-09-17 23:52:11.767623,i386,35.106072187423706,-49.06188800000018,0.0,80.0,20.0,1.6546159982681274,0.1384615384615384,0.0659340659340659,0.0206826999783515,1.8816694021224976,0.0391304347826086,0.0434782608695652,0.0940834701061248,99.0,0.0222657591104507,,0.0213256925344467,,0.0209575727581977,,0.0207870930433273,,0.0206867024302482,,22.873426914215088,11620944.0,11633410.0,0.0,"1516/876, 876/878, 878/880, 880/882, 882/884, 884/886, 886/888, 888/890, 890/892, 892/894, 894/896, 896/898, 898/900, 900/902, 902/20","1516/876, 876/878, 878/880, 880/882, 882/884, 884/886, 886/888, 888/890, 890/892, 892/894, 894/896, 896/898, 898/900, 900/902, 902/20",723192.0,0.0,,,,,,
3,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.57, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,30369,2024-09-17 23:53:13.901356,i386,34.00123596191406,523.9930879999993,0.0,80.0,20.0,1.7016109228134155,0.3955641025641025,0.192014652014652,0.0212701365351676,1.9989197254180908,0.2977272727272727,0.1893939393939393,0.0999459862709045,99.0,0.021875512599945,,0.0216248631477355,,0.0215323239564895,,0.0213575452566146,,0.0212741807103157,,17.81561017036438,8483202.0,8492125.0,1.0,"1516/877, 877/880, 880/883, 883/886, 886/889, 889/892, 892/895, 895/898, 898/901, 901/902, 902/20","1516/877, 877/880, 880/883, 883/886, 886/889, 889/892, 892/895, 895/898, 898/901, 901/902, 902/20",939284.0,0.0,,,,,,
4,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.49, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,30369,2024-09-17 23:54:11.030477,i386,34.824002742767334,431.4767360000005,0.0,80.0,20.0,1.629716873168945,0.1,0.0476190476190476,0.0203714609146118,2.824575901031494,0.0272727272727272,0.0303030303030303,0.1412287950515747,99.0,0.0237516999244689,,0.0220366090536117,,0.0210096806287765,,0.0205169111490249,,0.0203736513853073,,23.40764093399048,8483202.0,8492125.0,1.0,"1516/877, 877/880, 880/883, 883/886, 886/889, 889/892, 892/895, 895/898, 898/901, 901/902, 902/20","1516/877, 877/880, 880/883, 883/886, 886/889, 889/892, 892/895, 895/898, 898/901, 901/902, 902/20",1182043.0,0.0,,,,,,
5,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.44, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 1.0]",BERT_theseus_training|BERT_theseus,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,30369,2024-09-17 23:55:12.974836,i386,32.90251016616821,157.98271999999997,0.0,80.0,20.0,1.7414830923080444,0.1339805825242718,0.0638002773925104,0.0217685386538505,2.003211498260498,0.0391304347826086,0.0434782608695652,0.1001605749130249,99.0,0.0286751896142959,,0.0265333801507949,,0.0247228235006332,,0.023097126185894,,0.0218203634023666,,27.083044052124023,8483202.0,8492125.0,0.0,"1516/877, 877/880, 880/883, 883/886, 886/889, 889/892, 892/895, 895/898, 898/901, 901/902, 902/20","1516/877, 877/880, 880/883, 883/886, 886/889, 889/892, 892/895, 895/898, 898/901, 901/902, 902/20",1435431.0,0.0,,,,,,
6,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,43783,2024-09-18 11:20:31.911576,i386,276.2831218242645,574.5582080000004,0.0,80.0,20.0,,0.0074404761904761,0.0170068027210884,,5.9175042617264056e+32,0.0181818181818181,0.0303030303030303,2.958752130863203e+31,99.0,,,,,,,,,,,18.04072594642639,22660842.0,22685740.0,5346.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20","1516/875, 875/875, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/892, 893/894, 894/894, 895/893, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20",304984.0,0.0,,,,,,
7,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.7, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,43783,2024-09-18 11:25:14.029706,i386,259.3582429885864,462.5981439999996,0.0,80.0,20.0,5.142028639757717e+31,0.1384615384615384,0.0659340659340659,6.427535799697147e+29,7.974340669858409e+31,0.0391304347826086,0.0434782608695652,3.9871703349292046e+30,99.0,6.427535799697147e+29,,6.427535799697147e+29,,6.427535799697147e+29,,6.427535799697147e+29,,6.427535799697147e+29,,19.08726119995117,22660842.0,22685740.0,407009.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20","1516/858, 875/855, 876/868, 877/867, 878/865, 879/867, 880/863, 881/863, 882/868, 883/869, 884/869, 885/873, 886/874, 887/873, 888/876, 889/870, 890/879, 891/878, 892/878, 893/877, 894/882, 895/875, 896/880, 897/877, 898/879, 899/883, 900/882, 901/884, 902/20",609856.0,0.0,,,,,,
8,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.57, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 0.29, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,43783,2024-09-18 11:30:09.608776,i386,271.5917198657989,-922.3905280000008,0.0,80.0,20.0,,0.0587008895478132,0.0577147093084824,,,0.0631944444444444,0.0949074074074074,,99.0,,,,,,,,,,,15.60598087310791,22660842.0,22685740.0,0.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20","1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20",609856.0,0.0,,,,,,
9,v0.89 - 89,0,CrossEntropy,Adam,0.02,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.49, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 1.0]",DAIS_training|DAIS,0.5,0.5,0.05,0.03,3.0,False,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,ModelStateDict1726630905.3882601.pt,20,1516,43783,2024-09-18 11:34:48.985354,i386,259.49623012542725,1037.1850240000003,0.0,80.0,20.0,9.322201498171191e+34,0.0012195121951219,0.0069686411149825,1.1652751872713992e+33,3.1823338352617014e+34,0.0,0.0,1.5911669176308506e+33,99.0,1.1652751872713992e+33,,1.1652751872713992e+33,,1.1652751872713992e+33,,1.1652751872713992e+33,,1.1652751872713992e+33,,18.047507762908936,22660842.0,22685740.0,547405.0,"1516/875, 875/876, 876/877, 877/878, 878/879, 879/880, 880/881, 881/882, 882/883, 883/884, 884/885, 885/886, 886/887, 887/888, 888/889, 889/890, 890/891, 891/892, 892/893, 893/894, 894/895, 895/896, 896/897, 897/898, 898/899, 899/900, 900/901, 901/902, 902/20","1516/865, 875/845, 876/863, 877/860, 878/852, 879/839, 880/856, 881/867, 882/870, 883/861, 884/873, 885/856, 886/849, 887/836, 888/883, 889/860, 890/865, 891/881, 892/873, 893/860, 894/878, 895/869, 896/874, 897/883, 898/897, 899/886, 900/901, 901/866, 902/20",609856.0,0.0,,,,,,
