,Version,Notes,LossFunction,Optimizer,LearningRate,SchedulerLR,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,DAISRegularizerScale,LassoForDAIS,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,GPUModel,TimeForPrune,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForPruneAndRetrain,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,additive_loss,f1_scores_all_0,f1_scores_all_1,f1_scores_all_2,f1_scores_all_3,f1_scores_all_4,f1_scores_all_5,f1_scores_all_6,f1_scores_all,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_additive_loss,val_f1_scores_all_0,val_f1_scores_all_1,val_f1_scores_all_2,val_f1_scores_all_3,val_f1_scores_all_4,val_f1_scores_all_5,val_f1_scores_all,val_mean_loss,epoch,TimeForRun,macs,parameters,NumberOfZeros,Zeroed_filter_inputs,Zeroed_filter_outputs,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,gpuModel,gpuInfo,f1_scores_all_7,val_f1_scores_all_6,AssociatedOriginalRow
0,v0.115 - 115,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1729301971.042939.pt,ModelStateDict1727494995.7599223.pt,20,1516,15186,2024-10-18 21:39:20.953712,i386,,0.0157649517059326,0.0059896081686019,ModelStateDict-Waypoint_0-1729301962.986264.pt,0.0032506793737411,ModelStateDict-Waypoint_1-1729301964.900738.pt,0.0029926519840955,ModelStateDict-Waypoint_2-1729301966.57636.pt,0.0029512137174606,ModelStateDict-Waypoint_3-1729301968.342895.pt,0.0029372636228799,ModelStateDict-Waypoint_4-1729301970.004838.pt,9.171499967575071,-22.5566719999988,0.0,80.0,20.0,0.2350854575634002,0.8789206349206349,0.6740155772453909,0.0,0.8571428571428571,0.9565217391304348,0.96,0.0,0.5,0.4444444444444444,1.0,"[0.8571428571428571, 0.9565217391304348, 0.96, 0.0, 0.5, 0.4444444444444444, 1.0]",0.0029385682195425,0.1334795206785202,0.9285714285714284,0.8095238095238096,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,"[0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 0.0]",0.006673976033926,0.0,0.3587877750396728,1095675.0,1100595.0,0.0,0.0,0.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20",48880.0,,,,,
1,v0.115 - 115,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1729388447.6069272.pt,ModelStateDict1727494995.7599223.pt,20,1516,20033,2024-10-19 21:40:38.769240,i386,,0.03662109375,0.0055860139429569,ModelStateDict-Waypoint_0-1729388440.276444.pt,0.0031824566423892,ModelStateDict-Waypoint_1-1729388441.680971.pt,0.0029429350048303,ModelStateDict-Waypoint_2-1729388443.0625548.pt,0.0031909793615341,ModelStateDict-Waypoint_3-1729388444.5709991.pt,0.003315407782793,ModelStateDict-Waypoint_4-1729388446.302138.pt,7.691941976547241,593.8585599999988,0.0,80.0,20.0,0.231383204460144,0.8821428571428571,0.6305235137533274,0.0,0.8571428571428571,0.9565217391304348,1.0,0.0,0.0,0.6,1.0,"[0.8571428571428571, 0.9565217391304348, 1.0, 0.0, 0.0, 0.6, 1.0]",0.0028922900557518,0.1339384466409683,0.9285714285714284,0.8095238095238096,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,"[0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 0.0]",0.0066969223320484,0.0,0.4957988262176513,1095675.0,1100595.0,0.0,0.0,0.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20",48880.0,,,,,
2,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1729392166.5083032.pt,ModelStateDict1727494995.7599223.pt,20,1516,21023,2024-10-19 22:42:37.935322,i386,,0.0420248508453369,0.0055753834545612,ModelStateDict-Waypoint_0-1729392159.493268.pt,0.0035884268581867,ModelStateDict-Waypoint_1-1729392161.01579.pt,0.0029484897851943,ModelStateDict-Waypoint_2-1729392162.709159.pt,0.002911871112883,ModelStateDict-Waypoint_3-1729392164.176182.pt,0.0028994649648666,ModelStateDict-Waypoint_4-1729392165.617716.pt,7.794636964797974,-81.64147200000116,0.0,80.0,20.0,0.2319799661636352,0.8821428571428571,0.6305235137533274,0.0,0.8571428571428571,0.9565217391304348,1.0,0.0,0.0,0.6,1.0,"[0.8571428571428571, 0.9565217391304348, 1.0, 0.0, 0.0, 0.6, 1.0]",0.0028997495770454,0.1340118944644928,0.9285714285714284,0.8095238095238096,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,"[0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 0.0]",0.0067005947232246,0.0,0.3108119964599609,1095675.0,1100595.0,0.0,0.0,0.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20",48880.0,,,,,
3,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1729392264.231035.pt,ModelStateDict1727494995.7599223.pt,20,1516,21153,2024-10-19 22:44:16.189589,i386,,0.0352942943572998,0.005612663179636,ModelStateDict-Waypoint_0-1729392257.6684248.pt,0.003188119828701,ModelStateDict-Waypoint_1-1729392259.0921721.pt,0.0032161023467779,ModelStateDict-Waypoint_2-1729392260.5028942.pt,0.0029215980321168,ModelStateDict-Waypoint_3-1729392261.915652.pt,0.0031515546143054,ModelStateDict-Waypoint_4-1729392263.373445.pt,7.291867256164551,30.45376000000033,0.0,80.0,20.0,0.2327280342578888,0.8789021164021162,0.6744388576686713,0.0,0.8571428571428571,0.9565217391304348,1.0,0.0,0.5,0.4444444444444444,0.9629629629629628,"[0.8571428571428571, 0.9565217391304348, 1.0, 0.0, 0.5, 0.4444444444444444, 0.9629629629629629]",0.0029091004282236,0.1339877545833587,0.9285714285714284,0.8095238095238096,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,"[0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 0.0]",0.0066993877291679,0.0,0.2869219779968261,1095675.0,1100595.0,0.0,0.0,0.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20",48880.0,,,,,
4,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1729394395.0731032.pt,ModelStateDict1727494995.7599223.pt,20,1516,21763,2024-10-19 23:19:46.526269,i386,,0.0652079582214355,0.0057531662285327,ModelStateDict-Waypoint_0-1729394388.167092.pt,0.0032056175172328,ModelStateDict-Waypoint_1-1729394389.66022.pt,0.0031697176396846,ModelStateDict-Waypoint_2-1729394391.1357.pt,0.0032321501523256,ModelStateDict-Waypoint_3-1729394392.652708.pt,0.0029275920242071,ModelStateDict-Waypoint_4-1729394394.174866.pt,7.762838125228882,28.127231999998912,0.0,80.0,20.0,0.2341877222061157,0.8814814814814815,0.6277835288704854,0.0,0.875,0.9565217391304348,1.0,0.0,0.0,0.6,0.9629629629629628,"[0.875, 0.9565217391304348, 1.0, 0.0, 0.0, 0.6, 0.9629629629629629]",0.0029273465275764,0.1343944072723388,0.9285714285714284,0.8095238095238096,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,"[0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 0.0]",0.0067197203636169,0.0,0.3041727542877197,1095675.0,1100595.0,0.0,0.0,0.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20",48880.0,test,test,,,
5,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1727494995.7599223.pt,20,1516,35963,2024-10-23 15:20:38.509775,i386,,22.98899292945861,,,,,,,,,,,23.126643180847168,645.8286079999998,0.0,80.0,20.0,2.312943935394287,0.0454301075268817,0.0399385560675883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795698924731182,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27956989247311825]",0.0289117991924285,2.4410533905029297,0.0181818181818181,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,"[0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0]",0.1220526695251464,0.0,0.3564298152923584,1095675.0,1100595.0,625254.0,0.0,2378.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/173, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/20",35268.0,none,none,,,
6,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[152, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 20]","[0.87, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1727494995.7599223.pt,20,1516,35963,2024-10-23 15:21:04.347979,i386,,15.57263708114624,,,,,,,,,,,15.677556991577148,-335.876096,0.0,80.0,20.0,2.1869587898254395,0.0454301075268817,0.0399385560675883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795698924731182,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27956989247311825]",0.0273369848728179,2.249632835388184,0.0181818181818181,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,"[0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0]",0.1124816417694091,0.0,0.3195910453796386,1095675.0,1100595.0,729394.0,0.0,2669.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/152, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/77, 175/20",86792.0,none,none,,,
7,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.001,0.001,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",ADDM_Joint,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1727494995.7599223.pt,20,1516,36226,2024-10-23 15:25:31.899065,i386,,29.001944065094,,,,,,,,,,,29.14299201965332,330.72332800000004,0.0,80.0,20.0,2.1135618686676025,0.0454301075268817,0.0399385560675883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795698924731182,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27956989247311825]",0.026419523358345,2.170881509780884,0.0181818181818181,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,"[0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.0]",0.1085440754890441,0.0,0.3608739376068115,1095675.0,1100595.0,625149.0,0.0,2378.0,"1516/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/175, 175/20","1516/173, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/87, 175/20",40188.0,none,none,,,
8,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.1,0.1,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1727494995.7599223.pt,20,1516,57628,2024-10-25 02:51:47.811919,i386,,32.768375873565674,,,,,,,,,,,32.92306995391846,-222.34316800000124,0.0,80.0,20.0,,0.1384615384615384,0.0659340659340659,0.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,"[0.46153846153846156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,0.0391304347826086,0.0434782608695652,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,"[0.2608695652173913, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0,0.3298597335815429,482200.0,484770.0,0.0,0.0,0.0,"1516/174, 174/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/20","1516/174, 174/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/20",9318.0,none,none,,,
9,v0.116 - 116,16,CrossEntropy,Adam,0.0002,1,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,100,-2,0,cpu,0.1,0.1,"[173, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 20]","[0.99, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0]",TOFD,0.5,0.5,0.05,0.03,3.0,2.0,False,"[10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",,ModelStateDict1727494995.7599223.pt,20,1516,58210,2024-10-25 03:02:29.516989,i386,,113.64565300941469,,,,,,,,,,,113.80252480506896,-1105.0721279999998,0.0,80.0,20.0,2.9275522232055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0365944027900695,2.9536688327789307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1476834416389465,0.0,0.3650300502777099,482200.0,484770.0,0.0,0.0,0.0,"1516/174, 174/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/20","1516/174, 174/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/88, 88/20",9318.0,none,none,0.0,0.0,
