,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,Dropout,HiddenDim,HiddenDimSize,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LayerIteration,SaveLocation,FromSaveLocation,NumClasses,NumFeatures,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,CudaMemory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score_weight,f1_score_macro,mean_loss,val_total_loss,val_f1_score_weight,val_f1_score_macro,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow,LassoForDAIS
0,v0.78 - 78,0,CrossEntropy,Adam,0.000904255,150,MainLinear,0.000224328,27,875,ACI,3000,0.2,0,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726074341.0074522.pt,,20,1516,4185939,2024-09-11 12:59:15.908656,x86_64,0.0002288818359375,0.0,0.0,18113.0,4528.0,85.30274283885956,0.1733856279302977,0.0677478241226638,0.0047094762236437,4.6507227420806885,0.1760983197393367,0.0684844929599227,0.0010271030790814,149.0,0.0008622291619488,ModelStateDict-Waypoint_0-1726074030.5149825.pt,0.0008161787443656,ModelStateDict-Waypoint_1-1726074107.1674922.pt,0.1145081360217835,ModelStateDict-Waypoint_2-1726074184.086015.pt,0.0780719288772442,ModelStateDict-Waypoint_3-1726074260.837758.pt,0.0539707460349738,ModelStateDict-Waypoint_4-1726074338.0015106.pt,384.1954698562622,22015875.0,22040395.0,1.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",300336.0,,
1,v0.78 - 78,0,CrossEntropy,Adam,9.04255e-05,150,MainLinear,0.000224328,27,875,ACI,3000,0.2,0,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726074765.1208253.pt,,20,1516,4187337,2024-09-11 13:06:12.060924,x86_64,0.0002329349517822,0.0,0.0,18113.0,4528.0,16.17979097366333,0.170571039435408,0.0666535303441022,0.0008932695287176,4.622925996780396,0.1664514296169768,0.0646919778699861,0.0010209642219037,149.0,0.0009613782916071,ModelStateDict-Waypoint_0-1726074448.4748347.pt,0.0009168580677102,ModelStateDict-Waypoint_1-1726074527.1830664.pt,0.0009035382444299,ModelStateDict-Waypoint_2-1726074605.445166.pt,0.0008918020691421,ModelStateDict-Waypoint_3-1726074683.8279812.pt,0.0008823854895737,ModelStateDict-Waypoint_4-1726074762.0216563.pt,392.0104792118073,22015875.0,22040395.0,1.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",300336.0,,
2,v0.78 - 78,0,CrossEntropy,Adam,9.04255e-05,150,MainLinear,0.000224328,27,875,ACI,3000,0.2,0,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726074946.3346415.pt,,20,1516,4188770,2024-09-11 13:14:35.139082,x86_64,0.000227928161621,0.0,0.0,3366.0,841.0,5.149754524230957,0.0828498193909674,0.0589650032842812,0.0015299330137346,2.6014397144317627,0.0741213914095305,0.0581736102698265,0.0030932695772078,149.0,0.0016505106955996,ModelStateDict-Waypoint_0-1726074888.9110086.pt,0.001592600267697,ModelStateDict-Waypoint_1-1726074903.0995271.pt,0.0015672397840185,ModelStateDict-Waypoint_2-1726074917.2694783.pt,0.0015479392121394,ModelStateDict-Waypoint_3-1726074931.3911376.pt,0.0015235160407181,ModelStateDict-Waypoint_4-1726074945.4039137.pt,70.7461633682251,22015875.0,22040395.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",300336.0,,
3,v0.78 - 78,0,CrossEntropy,Adam,9.04255e-05,150,MainLinear,0.000224328,27,875,ACI,3000,0.2,0,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]",ModelStateDict1726075930.3911674.pt,,20,1516,4190085,2024-09-11 13:25:41.698339,x86_64,0.0002331733703613,0.0,0.0,18113.0,4528.0,2.005511909723282,0.8879016502990277,0.5250499079748062,0.0001107222387082,0.6175381243228912,0.8904350861436336,0.5234081002358126,0.0001363820945942,149.0,0.0005832687822412,ModelStateDict-Waypoint_0-1726075617.2461846.pt,0.000269457504539,ModelStateDict-Waypoint_1-1726075694.6575387.pt,0.0001323366029583,ModelStateDict-Waypoint_2-1726075772.1201844.pt,0.0001021343349837,ModelStateDict-Waypoint_3-1726075849.6980228.pt,0.000120463817925,ModelStateDict-Waypoint_4-1726075927.356269.pt,387.6289577484131,22015875.0,22040395.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,,
4,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,1000,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,,20,1516,706241,2024-09-16 21:59:11.069116,x86_64,0.0002374649047851,0.0,0.0,800.0,200.0,1.758700609207153,0.1149162561576354,0.0425615763546798,0.0021983757615089,1.721237301826477,0.1509125475285171,0.053231939163498,0.0086138272285461,39.0,0.0022510281205177,ModelStateDict-Waypoint_0-1726538355.0991.pt,0.0021985357999801,ModelStateDict-Waypoint_1-1726538358.5860255.pt,,,,,,,,,,,,,,,False
5,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,1000,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",ModelStateDict1726538399.220123.pt,,20,1516,706605,2024-09-16 21:59:40.102802,x86_64,0.0002391338348388,0.0,0.0,800.0,200.0,1.771770477294922,0.1148031496062992,0.04251968503937,0.0022147130966186,1.7175915241241455,0.1509125475285171,0.053231939163498,0.0085879576206207,99.0,0.0022296626865863,ModelStateDict-Waypoint_0-1726538384.1856368.pt,0.0021946874260902,ModelStateDict-Waypoint_1-1726538387.775445.pt,0.002191566824913,ModelStateDict-Waypoint_2-1726538391.4063253.pt,0.0021808350086212,ModelStateDict-Waypoint_3-1726538395.0193498.pt,0.0022092369198799,ModelStateDict-Waypoint_4-1726538398.6372406.pt,18.23964524269104,22015875.0,22040395.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,,False
6,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,1000,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",ModelStateDict1726538399.220123.pt,,20,1516,706605,2024-09-16 21:59:59.494847,x86_64,0.0552432537078857,23.48236800000086,88581120.0,800.0,200.0,1.777887225151062,0.1148031496062992,0.04251968503937,0.0022223590314388,1.7172789573669434,0.1509125475285171,0.053231939163498,0.0085863947868347,99.0,0.0022238609194755,,0.0022223499417304,,0.0022223499417304,,0.0022243764996528,,0.0022223499417304,,17.131474494934082,22015875.0,22040395.0,226269.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/20",375392.0,5.0,False
7,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,1000,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",,,20,1516,707525,2024-09-16 22:09:40.953416,x86_64,0.0001332759857177,0.0,0.0,800.0,200.0,1.7750935554504397,0.1148031496062992,0.04251968503937,0.002218866944313,1.7356579303741455,0.1509125475285171,0.053231939163498,0.0086782896518707,24.0,0.0022340434789657,ModelStateDict-Waypoint_0-1726538984.0010307.pt,,,,,,,,,,,,,,,,,False
8,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,1000,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",ModelStateDict1726539033.703691.pt,,20,1516,707897,2024-09-16 22:10:20.661729,x86_64,0.0001285076141357,0.0,0.0,800.0,200.0,1.7588881254196167,0.1148031496062992,0.04251968503937,0.0021986101567745,1.7212584018707275,0.1509125475285171,0.053231939163498,0.0086062920093536,99.0,0.0022302085161209,ModelStateDict-Waypoint_0-1726539023.6128469.pt,0.0025392439961433,ModelStateDict-Waypoint_1-1726539026.065108.pt,0.0025047102570533,ModelStateDict-Waypoint_2-1726539028.4403627.pt,0.0024770145118236,ModelStateDict-Waypoint_3-1726539030.9084191.pt,0.0021981635689735,ModelStateDict-Waypoint_4-1726539033.3705893.pt,12.380672454833984,22015875.0,22040395.0,0.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20",225280.0,,False
9,v0.89 - 89,0,CrossEntropy,Adam,0.000904255,100,MainLinear,0.000224328,27,875,ACI,3000,0.2,1000,-2,0,cuda,0.001,0.001,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20]","[0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 1.0]",RandomStructured,0.5,0.5,0.05,0.03,3.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20]",ModelStateDict1726539033.703691.pt,,20,1516,707897,2024-09-16 22:10:33.947852,x86_64,0.0312108993530273,3.0965759999999136,88581120.0,800.0,200.0,1.763181447982788,0.1148031496062992,0.04251968503937,0.0022039768099784,1.7238028049468994,0.1509125475285171,0.053231939163498,0.0086190140247344,99.0,0.002203964293003,,0.0022078348696231,,0.0022038516402244,,0.002203864455223,,0.0022039310634136,,11.40006422996521,22015875.0,22040395.0,226269.0,"1516/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/875, 875/20","1516/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/866, 875/20",375392.0,8.0,False
