"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,Info,Number of connected,csv row,pruning type
27,None,2,0,
27,Lowest OS Scan,1,0,
27,None,3,0,
27,None,1,0,
27,None,1,0,
27,Lowest Dictionary Attack,1,0,
27,None,2,0,
27,None,1,0,
27,None,1,0,
27,Lowest Benign,2,0,
27,Lowest Slowloris,1,0,
27,None,1,0,
27,None,1,0,
27,None,1,0,
27,None,1,0,
26,None,6,0,
26,None,3,0,
26,Highest DNS Flood,1,0,
26,None,1,0,
26,None,3,0,
26,Highest Slowloris,1,0,
26,Second Port Scan,3,0,
26,None,1,0,
26,None,1,0,
26,None,1,0,
26,None,1,0,
26,None,3,0,
26,None,1,0,
26,Lowest DNS Flood,1,0,
26,None,1,0,
26,None,1,0,
26,Highest Benign,3,0,
26,None,2,0,
26,None,1,0,
26,Highest SYN Flood,1,0,
26,None,2,0,
26,None,1,0,
26,None,1,0,
25,None,6,0,
25,None,8,0,
25,None,3,0,
25,None,7,0,
25,None,1,0,
25,None,1,0,
25,None,1,0,
25,None,5,0,
25,None,3,0,
25,None,3,0,
25,None,2,0,
25,None,5,0,
25,None,3,0,
25,Second OS Scan,3,0,
25,None,2,0,
25,Lowest Dictionary Attack,1,0,
25,Lowest Slowloris,2,0,
25,None,1,0,
25,None,1,0,
25,None,1,0,
25,None,1,0,
25,None,3,0,
25,None,2,0,
25,Second Benign,1,0,
25,Lowest DNS Flood,1,0,
25,None,2,0,
25,None,2,0,
25,None,1,0,
25,None,1,0,
25,None,1,0,
24,None,6,0,
24,None,6,0,
24,None,9,0,
24,Lowest DNS Flood,8,0,
24,None,6,0,
24,None,3,0,
24,None,7,0,
24,None,8,0,
24,None,1,0,
24,None,1,0,
24,None,5,0,
24,None,1,0,
24,None,6,0,
24,None,3,0,
24,Second Slowloris,3,0,
24,None,3,0,
24,None,2,0,
24,None,3,0,
24,None,5,0,
24,Second Dictionary Attack,5,0,
24,None,4,0,
24,None,4,0,
24,None,3,0,
24,None,3,0,
24,None,1,0,
24,None,1,0,
24,None,2,0,
24,None,2,0,
24,None,2,0,
24,None,1,0,
24,None,1,0,
24,None,1,0,
24,None,2,0,
24,None,1,0,
24,None,3,0,
24,None,3,0,
24,None,1,0,
24,None,1,0,
24,None,2,0,
24,None,2,0,
24,None,2,0,
24,None,1,0,
23,None,6,0,
23,Second Slowloris,6,0,
23,None,6,0,
23,None,6,0,
23,None,10,0,
23,None,10,0,
23,None,9,0,
23,None,8,0,
23,None,6,0,
23,Lowest Slowloris,10,0,
23,None,3,0,
23,None,8,0,
23,None,7,0,
23,None,8,0,
23,None,8,0,
23,None,8,0,
23,None,1,0,
23,Highest Slowloris,1,0,
23,None,7,0,
23,None,3,0,
23,Lowest Benign,6,0,
23,None,3,0,
23,Lowest Port Scan,5,0,
23,None,6,0,
23,None,3,0,
23,None,2,0,
23,None,3,0,
23,None,3,0,
23,None,5,0,
23,Lowest Dictionary Attack,5,0,
23,None,4,0,
23,None,3,0,
23,None,3,0,
23,Highest Benign,3,0,
23,None,1,0,
23,None,2,0,
23,None,2,0,
23,None,2,0,
23,None,1,0,
23,None,1,0,
23,None,2,0,
23,None,1,0,
23,None,3,0,
23,None,4,0,
23,None,3,0,
23,None,1,0,
23,None,2,0,
23,Highest DNS Flood,2,0,
23,None,2,0,
23,None,2,0,
23,None,1,0,
22,None,6,0,
22,None,10,0,
22,None,7,0,
22,None,6,0,
22,None,6,0,
22,Lowest Benign,6,0,
22,None,7,0,
22,None,6,0,
22,None,10,0,
22,None,10,0,
22,None,10,0,
22,None,10,0,
22,None,9,0,
22,None,10,0,
22,None,9,0,
22,None,6,0,
22,None,6,0,
22,None,10,0,
22,None,10,0,
22,None,8,0,
22,None,5,0,
22,None,8,0,
