"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,4,5,10,0,Waypoint_0
0,96,1,10,0,Waypoint_0
0,107,2,10,0,Waypoint_0
0,125,1,10,0,Waypoint_0
0,127,1,10,0,Waypoint_0
0,156,2,10,0,Waypoint_0
1,7,5,10,0,Waypoint_0
1,43,4,10,0,Waypoint_0
1,60,2,10,0,Waypoint_0
1,89,1,10,0,Waypoint_0
1,90,1,10,0,Waypoint_0
1,103,1,10,0,Waypoint_0
1,110,2,10,0,Waypoint_0
1,130,1,10,0,Waypoint_0
1,131,1,10,0,Waypoint_0
1,132,1,10,0,Waypoint_0
1,145,1,10,0,Waypoint_0
2,0,1,10,0,Waypoint_0
2,77,2,10,0,Waypoint_0
2,83,4,10,0,Waypoint_0
2,146,4,10,0,Waypoint_0
2,147,1,10,0,Waypoint_0
2,175,3,10,0,Waypoint_0
3,43,1,10,0,Waypoint_0
3,66,1,10,0,Waypoint_0
3,67,1,10,0,Waypoint_0
3,85,2,10,0,Waypoint_0
3,95,1,10,0,Waypoint_0
3,100,1,10,0,Waypoint_0
3,147,2,10,0,Waypoint_0
3,162,1,10,0,Waypoint_0
4,20,1,10,0,Waypoint_0
4,41,1,10,0,Waypoint_0
4,52,3,10,0,Waypoint_0
4,158,2,10,0,Waypoint_0
4,160,2,10,0,Waypoint_0
5,16,1,10,0,Waypoint_0
5,54,1,10,0,Waypoint_0
5,86,5,10,0,Waypoint_0
5,96,3,10,0,Waypoint_0
5,121,1,10,0,Waypoint_0
6,2,1,10,0,Waypoint_0
6,66,6,10,0,Waypoint_0
6,132,2,10,0,Waypoint_0
6,149,1,10,0,Waypoint_0
6,160,3,10,0,Waypoint_0
7,23,2,10,0,Waypoint_0
7,71,4,10,0,Waypoint_0
7,84,3,10,0,Waypoint_0
7,133,1,10,0,Waypoint_0
8,23,3,10,0,Waypoint_0
8,75,1,10,0,Waypoint_0
8,116,6,10,0,Waypoint_0
8,165,6,10,0,Waypoint_0
8,167,3,10,0,Waypoint_0
9,24,1,10,0,Waypoint_0
9,71,1,10,0,Waypoint_0
9,77,1,10,0,Waypoint_0
9,79,6,10,0,Waypoint_0
9,94,3,10,0,Waypoint_0
9,167,5,10,0,Waypoint_0
10,18,5,10,0,Waypoint_0
10,51,5,10,0,Waypoint_0
10,77,5,10,0,Waypoint_0
10,172,5,10,0,Waypoint_0
11,54,5,10,0,Waypoint_0
11,86,1,10,0,Waypoint_0
11,117,1,10,0,Waypoint_0
11,150,4,10,0,Waypoint_0
11,181,4,10,0,Waypoint_0
11,185,5,10,0,Waypoint_0
12,19,4,10,0,Waypoint_0
12,24,5,10,0,Waypoint_0
12,46,5,10,0,Waypoint_0
12,177,6,10,0,Waypoint_0
13,31,5,10,0,Waypoint_0
13,60,5,10,0,Waypoint_0
13,128,5,10,0,Waypoint_0
13,155,5,10,0,Waypoint_0
14,27,4,10,0,Waypoint_0
14,73,5,10,0,Waypoint_0
14,163,1,10,0,Waypoint_0
14,180,5,10,0,Waypoint_0
15,23,5,10,0,Waypoint_0
15,53,4,10,0,Waypoint_0
15,58,1,10,0,Waypoint_0
15,84,1,10,0,Waypoint_0
15,104,5,10,0,Waypoint_0
15,135,4,10,0,Waypoint_0
16,24,5,10,0,Waypoint_0
16,170,5,10,0,Waypoint_0
17,25,1,10,0,Waypoint_0
17,28,4,10,0,Waypoint_0
17,106,5,10,0,Waypoint_0
17,174,1,10,0,Waypoint_0
18,45,4,10,0,Waypoint_0
18,58,2,10,0,Waypoint_0
18,96,2,10,0,Waypoint_0
18,104,1,10,0,Waypoint_0
18,182,1,10,0,Waypoint_0
19,124,4,10,0,Waypoint_0
19,161,5,10,0,Waypoint_0
19,180,1,10,0,Waypoint_0
19,184,5,10,0,Waypoint_0
20,33,1,10,0,Waypoint_0
20,43,1,10,0,Waypoint_0
20,56,3,10,0,Waypoint_0
20,68,1,10,0,Waypoint_0
20,71,1,10,0,Waypoint_0
20,88,1,10,0,Waypoint_0
20,171,3,10,0,Waypoint_0
21,15,2,10,0,Waypoint_0
21,36,2,10,0,Waypoint_0
21,65,1,10,0,Waypoint_0
21,86,1,10,0,Waypoint_0
21,124,1,10,0,Waypoint_0
21,142,2,10,0,Waypoint_0
22,19,2,10,0,Waypoint_0
22,85,1,10,0,Waypoint_0
22,132,1,10,0,Waypoint_0
22,134,1,10,0,Waypoint_0
22,136,1,10,0,Waypoint_0
23,0,1,10,0,Waypoint_0
23,8,2,10,0,Waypoint_0
23,98,1,10,0,Waypoint_0
23,103,4,10,0,Waypoint_0
24,40,1,10,0,Waypoint_0
24,95,2,10,0,Waypoint_0
26,54,1,10,0,Waypoint_0
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,1,10,0,Waypoint_1
0,9,1,10,0,Waypoint_1
0,12,3,10,0,Waypoint_1
0,20,1,10,0,Waypoint_1
0,141,3,10,0,Waypoint_1
0,156,1,10,0,Waypoint_1
0,162,1,10,0,Waypoint_1
0,163,1,10,0,Waypoint_1
1,5,2,10,0,Waypoint_1
1,89,8,10,0,Waypoint_1
1,131,8,10,0,Waypoint_1
2,4,1,10,0,Waypoint_1
2,74,1,10,0,Waypoint_1
2,146,1,10,0,Waypoint_1
3,41,2,10,0,Waypoint_1
3,67,1,10,0,Waypoint_1
3,74,4,10,0,Waypoint_1
4,11,1,10,0,Waypoint_1
4,23,1,10,0,Waypoint_1
4,139,10,10,0,Waypoint_1
4,159,1,10,0,Waypoint_1
5,55,9,10,0,Waypoint_1
5,115,1,10,0,Waypoint_1
6,91,4,10,0,Waypoint_1
6,103,10,10,0,Waypoint_1
7,141,10,10,0,Waypoint_1
7,174,10,10,0,Waypoint_1
8,165,10,10,0,Waypoint_1
9,79,10,10,0,Waypoint_1
10,51,10,10,0,Waypoint_1
11,150,10,10,0,Waypoint_1
12,177,10,10,0,Waypoint_1
13,31,10,10,0,Waypoint_1
13,155,10,10,0,Waypoint_1
14,85,9,10,0,Waypoint_1
15,53,10,10,0,Waypoint_1
18,96,10,10,0,Waypoint_1
19,161,8,10,0,Waypoint_1
19,181,10,10,0,Waypoint_1
21,173,9,10,0,Waypoint_1
22,98,1,10,0,Waypoint_1
22,99,7,10,0,Waypoint_1
22,183,6,10,0,Waypoint_1
23,6,3,10,0,Waypoint_1
23,103,1,10,0,Waypoint_1
23,175,5,10,0,Waypoint_1
24,8,3,10,0,Waypoint_1
26,13,1,10,0,Waypoint_1
26,124,2,10,0,Waypoint_1
27,10,1,10,0,Waypoint_1
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_2
0,12,1,10,0,Waypoint_2
0,20,1,10,0,Waypoint_2
0,25,1,10,0,Waypoint_2
0,102,1,10,0,Waypoint_2
0,129,2,10,0,Waypoint_2
1,5,1,10,0,Waypoint_2
1,60,1,10,0,Waypoint_2
1,78,1,10,0,Waypoint_2
1,89,9,10,0,Waypoint_2
1,131,8,10,0,Waypoint_2
2,100,1,10,0,Waypoint_2
2,146,1,10,0,Waypoint_2
2,170,1,10,0,Waypoint_2
3,41,1,10,0,Waypoint_2
3,46,1,10,0,Waypoint_2
3,67,1,10,0,Waypoint_2
3,74,5,10,0,Waypoint_2
4,23,6,10,0,Waypoint_2
4,70,1,10,0,Waypoint_2
4,120,1,10,0,Waypoint_2
4,138,3,10,0,Waypoint_2
4,139,9,10,0,Waypoint_2
5,74,1,10,0,Waypoint_2
5,105,1,10,0,Waypoint_2
5,108,1,10,0,Waypoint_2
5,115,1,10,0,Waypoint_2
6,91,5,10,0,Waypoint_2
6,103,9,10,0,Waypoint_2
7,141,10,10,0,Waypoint_2
7,174,10,10,0,Waypoint_2
8,165,10,10,0,Waypoint_2
9,79,10,10,0,Waypoint_2
10,51,10,10,0,Waypoint_2
10,172,10,10,0,Waypoint_2
11,117,10,10,0,Waypoint_2
11,185,10,10,0,Waypoint_2
12,24,10,10,0,Waypoint_2
12,177,10,10,0,Waypoint_2
13,31,10,10,0,Waypoint_2
13,155,10,10,0,Waypoint_2
15,53,10,10,0,Waypoint_2
18,96,10,10,0,Waypoint_2
19,161,10,10,0,Waypoint_2
19,181,10,10,0,Waypoint_2
21,65,1,10,0,Waypoint_2
21,173,8,10,0,Waypoint_2
22,98,1,10,0,Waypoint_2
22,99,2,10,0,Waypoint_2
22,183,6,10,0,Waypoint_2
23,6,2,10,0,Waypoint_2
23,29,1,10,0,Waypoint_2
23,103,1,10,0,Waypoint_2
23,175,7,10,0,Waypoint_2
24,19,1,10,0,Waypoint_2
24,68,1,10,0,Waypoint_2
25,5,1,10,0,Waypoint_2
26,13,1,10,0,Waypoint_2
27,10,1,10,0,Waypoint_2
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_3
0,12,1,10,0,Waypoint_3
0,20,1,10,0,Waypoint_3
0,25,2,10,0,Waypoint_3
0,102,1,10,0,Waypoint_3
0,129,4,10,0,Waypoint_3
1,5,1,10,0,Waypoint_3
1,60,1,10,0,Waypoint_3
1,62,1,10,0,Waypoint_3
1,78,1,10,0,Waypoint_3
1,89,8,10,0,Waypoint_3
1,90,1,10,0,Waypoint_3
1,131,7,10,0,Waypoint_3
2,3,1,10,0,Waypoint_3
2,4,1,10,0,Waypoint_3
2,100,1,10,0,Waypoint_3
2,170,2,10,0,Waypoint_3
3,41,1,10,0,Waypoint_3
3,46,1,10,0,Waypoint_3
3,67,3,10,0,Waypoint_3
3,74,4,10,0,Waypoint_3
4,16,1,10,0,Waypoint_3
4,23,9,10,0,Waypoint_3
4,82,1,10,0,Waypoint_3
4,139,8,10,0,Waypoint_3
5,74,1,10,0,Waypoint_3
5,105,1,10,0,Waypoint_3
5,108,1,10,0,Waypoint_3
5,115,2,10,0,Waypoint_3
6,91,5,10,0,Waypoint_3
6,103,9,10,0,Waypoint_3
7,141,10,10,0,Waypoint_3
7,174,9,10,0,Waypoint_3
8,165,10,10,0,Waypoint_3
9,79,10,10,0,Waypoint_3
10,51,10,10,0,Waypoint_3
10,172,10,10,0,Waypoint_3
11,117,10,10,0,Waypoint_3
11,185,10,10,0,Waypoint_3
12,24,10,10,0,Waypoint_3
12,177,10,10,0,Waypoint_3
13,31,10,10,0,Waypoint_3
13,155,10,10,0,Waypoint_3
14,93,10,10,0,Waypoint_3
15,53,10,10,0,Waypoint_3
16,95,10,10,0,Waypoint_3
16,155,10,10,0,Waypoint_3
17,140,10,10,0,Waypoint_3
18,96,10,10,0,Waypoint_3
19,161,10,10,0,Waypoint_3
19,181,8,10,0,Waypoint_3
21,65,3,10,0,Waypoint_3
21,173,6,10,0,Waypoint_3
22,98,1,10,0,Waypoint_3
22,99,6,10,0,Waypoint_3
22,183,8,10,0,Waypoint_3
23,6,1,10,0,Waypoint_3
23,29,1,10,0,Waypoint_3
23,103,1,10,0,Waypoint_3
23,175,6,10,0,Waypoint_3
24,68,2,10,0,Waypoint_3
25,170,3,10,0,Waypoint_3
26,13,1,10,0,Waypoint_3
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_4
0,12,1,10,0,Waypoint_4
0,20,1,10,0,Waypoint_4
0,25,3,10,0,Waypoint_4
0,102,1,10,0,Waypoint_4
0,129,3,10,0,Waypoint_4
1,5,1,10,0,Waypoint_4
1,60,1,10,0,Waypoint_4
1,62,1,10,0,Waypoint_4
1,78,1,10,0,Waypoint_4
1,89,8,10,0,Waypoint_4
1,90,1,10,0,Waypoint_4
1,131,7,10,0,Waypoint_4
2,3,1,10,0,Waypoint_4
2,4,1,10,0,Waypoint_4
2,100,1,10,0,Waypoint_4
2,170,2,10,0,Waypoint_4
3,41,2,10,0,Waypoint_4
3,46,1,10,0,Waypoint_4
3,67,4,10,0,Waypoint_4
3,74,2,10,0,Waypoint_4
4,16,1,10,0,Waypoint_4
4,23,9,10,0,Waypoint_4
4,82,1,10,0,Waypoint_4
4,139,8,10,0,Waypoint_4
5,74,1,10,0,Waypoint_4
5,105,1,10,0,Waypoint_4
5,108,1,10,0,Waypoint_4
5,115,2,10,0,Waypoint_4
6,91,5,10,0,Waypoint_4
6,103,9,10,0,Waypoint_4
7,141,10,10,0,Waypoint_4
7,174,9,10,0,Waypoint_4
8,165,10,10,0,Waypoint_4
9,79,10,10,0,Waypoint_4
10,51,10,10,0,Waypoint_4
10,172,10,10,0,Waypoint_4
11,117,10,10,0,Waypoint_4
11,185,10,10,0,Waypoint_4
12,24,10,10,0,Waypoint_4
12,177,10,10,0,Waypoint_4
13,31,10,10,0,Waypoint_4
13,155,10,10,0,Waypoint_4
14,93,10,10,0,Waypoint_4
15,53,10,10,0,Waypoint_4
15,84,10,10,0,Waypoint_4
16,95,10,10,0,Waypoint_4
16,155,8,10,0,Waypoint_4
17,140,10,10,0,Waypoint_4
18,96,10,10,0,Waypoint_4
19,161,10,10,0,Waypoint_4
19,181,8,10,0,Waypoint_4
21,65,1,10,0,Waypoint_4
21,173,7,10,0,Waypoint_4
22,99,7,10,0,Waypoint_4
22,183,9,10,0,Waypoint_4
23,6,3,10,0,Waypoint_4
23,103,1,10,0,Waypoint_4
23,175,6,10,0,Waypoint_4
24,8,1,10,0,Waypoint_4
24,68,1,10,0,Waypoint_4
25,70,1,10,0,Waypoint_4
25,170,1,10,0,Waypoint_4
26,13,1,10,0,Waypoint_4
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_5
0,12,1,10,0,Waypoint_5
0,20,1,10,0,Waypoint_5
0,25,3,10,0,Waypoint_5
0,102,1,10,0,Waypoint_5
0,129,3,10,0,Waypoint_5
1,5,1,10,0,Waypoint_5
1,60,1,10,0,Waypoint_5
1,62,1,10,0,Waypoint_5
1,78,1,10,0,Waypoint_5
1,89,8,10,0,Waypoint_5
1,90,1,10,0,Waypoint_5
1,131,7,10,0,Waypoint_5
2,3,1,10,0,Waypoint_5
2,18,1,10,0,Waypoint_5
2,100,1,10,0,Waypoint_5
3,41,2,10,0,Waypoint_5
3,46,1,10,0,Waypoint_5
3,67,4,10,0,Waypoint_5
3,74,3,10,0,Waypoint_5
4,16,1,10,0,Waypoint_5
4,23,9,10,0,Waypoint_5
4,82,1,10,0,Waypoint_5
4,139,8,10,0,Waypoint_5
5,74,1,10,0,Waypoint_5
5,105,1,10,0,Waypoint_5
5,115,4,10,0,Waypoint_5
6,91,5,10,0,Waypoint_5
6,103,9,10,0,Waypoint_5
7,141,10,10,0,Waypoint_5
7,174,9,10,0,Waypoint_5
8,165,10,10,0,Waypoint_5
9,79,10,10,0,Waypoint_5
10,51,10,10,0,Waypoint_5
10,172,10,10,0,Waypoint_5
11,117,10,10,0,Waypoint_5
11,185,10,10,0,Waypoint_5
12,24,10,10,0,Waypoint_5
12,177,10,10,0,Waypoint_5
13,31,10,10,0,Waypoint_5
